86,64,80
97,106,166
127,79,138
114,91,95
124,108,165
142,147,197
168,180,219
184,175,216
202,200,214
71,64,61
90,77,68
109,87,72
93,98,88
128,104,86
194,157,96
139,103,78
158,103,59
147,121,98
181,110,68
255,235,19
224,185,72
234,182,101
227,188,51
255,243,136
255,254,180
223,220,171
232,230,193
79,49,39
121,85,78
117,90,81
172,117,113
172,140,116
170,134,100
189,148,119
201,183,176
223,216,205
50,76,73
32,105,103
74,99,68
90,103,88
134,172,136
100,135,103
193,191,60
149,151,87
156,168,141
0,0,0
84,92,99
92,101,106
84,87,91
116,122,127
119,128,134
100,110,97
160,160,158
255,255,255
12,26,46
52,67,132
91,101,130
0,99,178
0,125,191
159,214,249
121,214,241
175,202,224
205,219,232
18,107,186
85,90,127
90,142,180
97,143,152
121,138,134
192,212,194
89,115,125
102,132,158
198,209,213
146,79,55
179,87,83
211,112,70
254,137,41
216,95,89
241,127,97
206,154,161
228,224,225
237,213,199
99,75,68
106,70,86
211,124,122
231,171,173
194,158,151
228,213,210
252,137,81
239,230,242
231,227,224
205,190,82
207,200,176
224,206,177
223,190,142
213,198,169
255,238,163
205,194,174
198,202,212
243,194,78
233,137,85
254,173,93
255,181,78
226,187,128
218,164,130
253,181,139
208,192,180
228,189,159
231,192,158
221,156,109
240,167,116
238,204,166
252,230,210
249,218,193
240,209,184
229,198,172
220,183,155
217,178,146
234,167,118
239,179,137
245,191,151
236,194,148
222,206,194
230,214,202
227,205,190
221,203,185
219,186,164
218,232,242
186,224,250
143,207,248
202,229,235
125,193,238
0,173,225
1,123,153
0,125,171
0,146,195
148,119,77
154,136,87
200,189,152
115,138,90
170,164,67
204,216,147
85,124,92
92,183,127
150,199,167
182,193,200
154,165,170
225,234,239
131,130,134
179,187,195
211,211,213
210,213,219
232,225,234
173,186,202
160,122,98
182,146,123
200,154,126
190,156,142
169,127,73
148,125,102
173,145,119
179,127,71
153,103,61
75,190,225
115,193,222
153,217,243
225,240,243
121,172,226
185,200,213
206,233,254
149,197,234
137,175,204
139,131,169
137,157,186
166,177,207
181,197,222
198,213,242
227,236,254
204,211,225
197,196,204
181,170,171
188,196,187
199,197,186
234,233,240
230,237,228
234,237,224
214,224,206
218,217,196
225,222,209
181,215,212
88,91,57
123,119,58
156,140,42
172,160,78
196,176,66
176,174,121
207,183,97
183,145,64
164,146,50
135,156,112
158,172,152
166,184,154
184,204,171
159,184,141
136,191,128
128,153,114
97,128,73
119,141,77
237,226,222
210,210,210
172,162,162
157,146,142
152,164,154
121,150,141
135,141,144
121,141,136
91,136,121
166,64,75
193,71,47
192,125,104
201,123,73
209,144,61
210,165,83
184,137,142
167,125,131
139,111,111
192,132,119
236,154,127
228,157,131
224,172,148
219,189,183
236,202,192
234,186,167
255,225,205
255,232,208
60,64,68
186,84,127
214,122,173
255,176,255
0,125,197
0,137,207
74,198,199
0,168,167
213,61,58
31,32,33
40,42,44
51,54,56
65,69,70
77,80,81
95,60,55
106,76,64
124,95,82
136,110,96
58,34,27
233,65,2
192,3,2
130,5,4
79,19,15
158,194,60
130,168,51
104,145,42
171,106,164
180,93,222
105,51,137
75,39,99
186,65,143
51,85,47
78,90,47
58,77,41
46,61,31
30,41,24
160,184,84
141,164,77
69,116,65
50,132,123
0,158,154
16,126,137
19,103,116
176,50,122
148,43,84
119,37,79
81,23,50
186,51,72
218,53,101
39,65,127
33,61,103
33,47,90
213,130,60
193,112,57
179,74,49
145,50,39
112,49,30
95,46,24
